COD_SNIES;NOMBRE_DEL_PROGRAMA;TITULO_OTORGADO;ESTADO_PROGRAMA
104446;INGENIERÍA INDUSTRIAL.;INGENIERO INDUSTRIAL.;Activo
107601;INGENIERÍA MULTIMEDIA;INGENIERO MULTIMEDIA;Activo
10672;LICENCIATURA EN ETNOEDUCACION;LICENCIADO EN ETNOEDUCACION;Activo
4450;LICENCIATURA EN FILOSOFIA;LICENCIADO EN FILOSOFIA;Activo
91276;LICENCIATURA EN INGLÉS COMO LENGUA EXTRANJERA;LICENCIADO(A) EN INGLÉS COMO LENGUA EXTRANJERA;Inactivo
107200;LICENCIATURA EN LENGUAS EXTRANJERAS CON ÉNFASIS EN INGLÉS;LICENCIADO(A) EN LENGUAS EXTRANJERAS CON ÉNFASIS EN INGLÉS;Activo
101333;LICENCIATURA EN MATEMÁTICAS;LICENCIADO(A) EN MATEMÁTICAS;Activo
104497;LICENCIATURA EN PEDAGOGÍA INFANTIL.;LICENCIADO (A) EN PEDAGOGÍA INFANTIL.;Activo
90866;MAESTRIA EN ADMINISTRACIÓN DE ORGANIZACIONES;MAGÍSTER EN ADMINISTRACIÓN DE ORGANIZACIONES;Activo
109309;MAESTRÍA EN AGRONEGOCIOS;MAGISTER EN AGRONEGOCIOS;Activo
109305;MAESTRÍA EN BIOTECNOLOGÍA ALIMENTARIA;MAGISTER EN BIOTECNOLOGÍA ALIMENTARIA;Activo
104417;MAESTRÍA EN COMUNICACIÓN;MAGÍSTER EN COMUNICACIÓN;Activo
104448;MAESTRÍA EN DESARROLLO ALTERNATIVO, SOSTENIBLE Y SOLIDARIO;MAGISTER EN DESARROLLO ALTERNATIVO, SOSTENIBLE Y SOLIDARIO;Activo
110182;MAESTRÍA EN DESARROLLO RURAL;MAGISTER EN DESARROLLO RURAL;Activo
109768;MAESTRÍA EN DISEÑO DE EXPERIENCIA DE USUARIO;MAGISTER EN DISEÑO DE EXPERIENCIA DE USUARIO;Activo
108492;MAESTRÍA EN EDUCACIÓN;MAGÍSTER EN EDUCACIÓN;Activo
108493;MAESTRÍA EN EDUCACIÓN INTERCULTURAL;MAGISTER EN EDUCACIÓN INTERCULTURAL;Activo
116106;Maestría en Geoinformación del Territorio;Magíster en Geoinformación del Territorio;Activo
